file,line,type,commit,author,date,time,timezone,datetime,depth,length
projects\index.html,24,html,1e258bc7,Joshua Lee,2025-02-04,19:09:17,-08:00,2025-02-04T19:09:17-08:00,0,32
projects\index.html,25,html,1e258bc7,Joshua Lee,2025-02-04,19:09:17,-08:00,2025-02-04T19:09:17-08:00,0,1
projects\index.html,26,html,1e258bc7,Joshua Lee,2025-02-04,19:09:17,-08:00,2025-02-04T19:09:17-08:00,0,0
projects\index.html,27,html,1aa04028,Joshua Lee,2025-02-04,18:02:07,-08:00,2025-02-04T18:02:07-08:00,0,21
projects\index.html,28,html,8cd804aa,Joshua Lee,2025-01-31,14:03:40,-08:00,2025-01-31T14:03:40-08:00,0,0
projects\index.html,29,html,1aa04028,Joshua Lee,2025-02-04,18:02:07,-08:00,2025-02-04T18:02:07-08:00,0,22
projects\index.html,30,html,1aa04028,Joshua Lee,2025-02-04,18:02:07,-08:00,2025-02-04T18:02:07-08:00,0,49
projects\index.html,31,html,8cd804aa,Joshua Lee,2025-01-31,14:03:40,-08:00,2025-01-31T14:03:40-08:00,0,48
projects\index.html,32,html,a234be2a,Joshua Lee,2025-02-04,16:22:07,-08:00,2025-02-04T16:22:07-08:00,0,0
projects\index.html,33,html,1aa04028,Joshua Lee,2025-02-04,18:02:07,-08:00,2025-02-04T18:02:07-08:00,0,5
projects\index.html,34,html,2c1a17d0,Joshua Lee,2025-01-23,23:48:00,-08:00,2025-01-23T23:48:00-08:00,0,0
projects\index.html,35,html,523fce3b,Joshua Lee,2025-01-23,23:54:19,-08:00,2025-01-23T23:54:19-08:00,0,49
projects\index.html,36,html,f6c4af8c,Joshua Lee,2025-01-06,19:04:20,-08:00,2025-01-06T19:04:20-08:00,0,6
projects\index.html,37,html,f6c4af8c,Joshua Lee,2025-01-06,19:04:20,-08:00,2025-01-06T19:04:20-08:00,0,6
meta\style.css,1,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,40
meta\style.css,2,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,6
meta\style.css,3,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,64
meta\style.css,4,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,24
meta\style.css,5,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,6,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,7,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,5
meta\style.css,8,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,24
meta\style.css,9,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,16
meta\style.css,10,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,19
meta\style.css,11,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,13
meta\style.css,12,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,22
meta\style.css,13,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,14,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,15,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,29
meta\style.css,16,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,4
meta\style.css,17,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,41
meta\style.css,18,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,65
meta\style.css,19,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,11
meta\style.css,20,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,19
meta\style.css,21,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,78
meta\style.css,22,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,23,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,40
meta\style.css,24,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,40
meta\style.css,25,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,26,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,27,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,54
meta\style.css,28,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,7
meta\style.css,29,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,32
meta\style.css,30,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,16
meta\style.css,31,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,10
meta\style.css,32,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,9
meta\style.css,33,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,11
meta\style.css,34,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,35,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,36,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,21
meta\style.css,37,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,6
meta\style.css,38,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,21
meta\style.css,39,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,14
meta\style.css,40,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,65
meta\style.css,41,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,55
meta\style.css,42,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,15
meta\style.css,43,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,16
meta\style.css,44,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,38
meta\style.css,45,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,46,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,47,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,31
meta\style.css,48,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,14
meta\style.css,49,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,17
meta\style.css,50,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,44
meta\style.css,51,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,21
meta\style.css,52,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,14
meta\style.css,53,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,21
meta\style.css,54,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,55,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,56,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,38
meta\style.css,57,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,12
meta\style.css,58,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,14
meta\style.css,59,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,46
meta\style.css,60,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,21
meta\style.css,61,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,70
meta\style.css,62,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,63,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,64,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,3
meta\style.css,65,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,17
meta\style.css,66,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,67,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,0
meta\style.css,68,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,14
meta\style.css,69,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,18
meta\style.css,70,css,0a3702cc,Joshua Lee,2025-02-17,13:00:09,-08:00,2025-02-17T13:00:09-08:00,0,9
